PROV_,DEPTO_,COD_2010,eph_codagl,eph_aglome
02,002,020020906,32,CABA
02,002,020020907,32,CABA
02,002,020020908,32,CABA
02,002,020020909,32,CABA
02,002,020021001,32,CABA
02,002,020021002,32,CABA
02,002,020021003,32,CABA
02,002,020021004,32,CABA
02,002,020021005,32,CABA
02,002,020021006,32,CABA
02,002,020021007,32,CABA
02,002,020021008,32,CABA
02,002,020021009,32,CABA
02,002,020021101,32,CABA
02,002,020021102,32,CABA
02,002,020021103,32,CABA
02,002,020021104,32,CABA
02,002,020021105,32,CABA
02,002,020021106,32,CABA
02,002,020021201,32,CABA
02,002,020021202,32,CABA
02,002,020021203,32,CABA
02,002,020021204,32,CABA
02,002,020021205,32,CABA
02,002,020021206,32,CABA
02,002,020021301,32,CABA
02,002,020021302,32,CABA
02,002,020021303,32,CABA
02,002,020021304,32,CABA
02,002,020021305,32,CABA
02,002,020021306,32,CABA
02,002,020021307,32,CABA
02,002,020021401,32,CABA
02,002,020021402,32,CABA
02,002,020021403,32,CABA
02,002,020021404,32,CABA
02,002,020021405,32,CABA
02,002,020021406,32,CABA
02,002,020021407,32,CABA
02,002,020021408,32,CABA
02,002,020021409,32,CABA
02,002,020021410,32,CABA
02,002,020021501,32,CABA
02,002,020021502,32,CABA
02,002,020021503,32,CABA
02,002,020021504,32,CABA
02,002,020021505,32,CABA
02,002,020021506,32,CABA
02,002,020021507,32,CABA
02,002,020021508,32,CABA
02,002,020021601,32,CABA
02,002,020021602,32,CABA
02,002,020021603,32,CABA
02,002,020021604,32,CABA
02,002,020021605,32,CABA
02,002,020021606,32,CABA
02,002,020021607,32,CABA
02,002,020021608,32,CABA
02,002,020021701,32,CABA
02,002,020021702,32,CABA
02,002,020021703,32,CABA
02,002,020021704,32,CABA
02,002,020021705,32,CABA
02,002,020021706,32,CABA
02,002,020021707,32,CABA
02,002,020021708,32,CABA
02,002,020021709,32,CABA
02,002,020021801,32,CABA
02,002,020021802,32,CABA
02,002,020021803,32,CABA
02,002,020021804,32,CABA
02,002,020021805,32,CABA
02,002,020021806,32,CABA
02,002,020021807,32,CABA
02,002,020021808,32,CABA
02,002,020021901,32,CABA
02,002,020021902,32,CABA
02,002,020021903,32,CABA
02,002,020021904,32,CABA
02,002,020021905,32,CABA
02,002,020021906,32,CABA
02,002,020021907,32,CABA
02,002,020021908,32,CABA
02,002,020022001,32,CABA
02,002,020022002,32,CABA
02,002,020022003,32,CABA
02,002,020022004,32,CABA
02,002,020022005,32,CABA
02,002,020022006,32,CABA
02,002,020022007,32,CABA
02,002,020022008,32,CABA
02,002,020022101,32,CABA
02,002,020022102,32,CABA
02,002,020022103,32,CABA
02,002,020022104,32,CABA
02,002,020022105,32,CABA
02,002,020022106,32,CABA
02,002,020022201,32,CABA
02,002,020022202,32,CABA
02,002,020022203,32,CABA
02,002,020022204,32,CABA
02,002,020022205,32,CABA
02,002,020022206,32,CABA
02,002,020022301,32,CABA
02,002,020022302,32,CABA
02,002,020022303,32,CABA
02,002,020022304,32,CABA
02,002,020022305,32,CABA
02,002,020022306,32,CABA
02,002,020022307,32,CABA
02,002,020022308,32,CABA
02,002,020022309,32,CABA
02,002,020022401,32,CABA
02,002,020022402,32,CABA
02,002,020022403,32,CABA
02,002,020022404,32,CABA
02,002,020022405,32,CABA
02,002,020022406,32,CABA
02,002,020022501,32,CABA
02,002,020022502,32,CABA
02,002,020022503,32,CABA
02,002,020022504,32,CABA
02,002,020022505,32,CABA
02,002,020022506,32,CABA
02,002,020022507,32,CABA
02,002,020022508,32,CABA
02,002,020022509,32,CABA
02,002,020022510,32,CABA
02,002,020022511,32,CABA
02,003,020030101,32,CABA
02,003,020030102,32,CABA
02,003,020030103,32,CABA
02,003,020030104,32,CABA
02,003,020030105,32,CABA
02,003,020030106,32,CABA
02,003,020030107,32,CABA
02,003,020030108,32,CABA
02,003,020030109,32,CABA
02,003,020030110,32,CABA
02,003,020030111,32,CABA
02,003,020030201,32,CABA
02,003,020030202,32,CABA
02,003,020030203,32,CABA
02,003,020030204,32,CABA
02,003,020030205,32,CABA
02,003,020030206,32,CABA
02,003,020030207,32,CABA
02,003,020030208,32,CABA
02,003,020030209,32,CABA
02,003,020030210,32,CABA
02,003,020030211,32,CABA
02,003,020030212,32,CABA
02,003,020030301,32,CABA
02,003,020030302,32,CABA
02,003,020030303,32,CABA
02,003,020030304,32,CABA
02,003,020030305,32,CABA
02,003,020030306,32,CABA
02,003,020030307,32,CABA
02,003,020030308,32,CABA
02,003,020030309,32,CABA
02,003,020030310,32,CABA
02,003,020030311,32,CABA
02,003,020030401,32,CABA
02,003,020030402,32,CABA
02,003,020030403,32,CABA
02,003,020030404,32,CABA
02,003,020030405,32,CABA
02,003,020030406,32,CABA
02,003,020030407,32,CABA
02,003,020030408,32,CABA
02,003,020030501,32,CABA
02,003,020030502,32,CABA
02,003,020030503,32,CABA
02,003,020030504,32,CABA
02,003,020030505,32,CABA
02,003,020030506,32,CABA
02,003,020030507,32,CABA
02,003,020030601,32,CABA
02,003,020030602,32,CABA
02,003,020030603,32,CABA
02,003,020030604,32,CABA
02,003,020030605,32,CABA
02,003,020030606,32,CABA
02,003,020030607,32,CABA
02,003,020030701,32,CABA
02,003,020030702,32,CABA
02,003,020030703,32,CABA
02,003,020030704,32,CABA
02,003,020030705,32,CABA
02,003,020030706,32,CABA
02,003,020030707,32,CABA
02,003,020030708,32,CABA
02,003,020030709,32,CABA
02,003,020030801,32,CABA
02,003,020030802,32,CABA
02,003,020030803,32,CABA
02,003,020030804,32,CABA
02,003,020030805,32,CABA
